name,isSafe,isPE,seemsPacked,amountOfSuspiciousSections,amountOfZeroEntropy,lowestEntropy,highestEntropy,Machine,NumberOfSections,TimeDateStamp,PointerToSymbolTable,NumberOfSymbols,SizeOfOptionalHeader,Characteristics
0,0,1,1,0,0,6.119539080360304,7.766264363644937,332,4,1344502417,0,0,224,271
1016,1,1,0,1,1,0.1991075177871819,6.5271366570846,332,8,2075999889,0,0,224,33166
1,0,1,1,0,0,2.136244551538663,7.869709558361947,332,4,1331321630,0,0,224,271
1024,1,1,0,4,1,0.19743807838821048,5.930586811687317,34404,11,0,26624,92,240,39
10,0,1,1,0,0,5.961096780276274,7.92222907528523,332,4,1343676558,0,0,224,271
104,1,1,0,4,1,0.19743807838821048,5.922266154665931,34404,11,33798176,38912,161,240,39
100,0,1,1,0,0,6.063141726099688,7.9149572522386045,332,4,1345574579,0,0,224,271
1040,1,1,1,0,0,4.158856385149271,7.641480178882651,332,4,1267348397,0,0,224,258
1000,0,1,1,0,0,4.983012926732353,7.98509626235543,332,4,1342594396,0,0,224,271
1043,1,1,0,0,0,0.08153941234324169,5.755789509925003,332,3,1343348450,0,0,224,258
1001,0,1,0,1,0,5.938592021734701,6.848694937798637,332,5,1307308631,0,0,224,258
1049,1,1,0,3,1,0.19743807838821048,6.029400520652862,34404,9,0,0,0,240,559
1002,0,1,1,0,0,4.210414460260621,7.839232091812524,332,4,1335515320,0,0,224,271
1074,1,1,0,0,0,3.489735185567714,6.428122485520713,332,5,1343345235,0,0,224,290
1003,0,1,1,6,6,4.239066098565719,7.516326869300019,332,10,1333279220,0,0,224,270
1079,1,1,0,0,0,1.0271276834268894,5.76405556706473,34404,5,1328933650,0,0,240,34
1004,0,1,0,5,0,0.16032872589902852,7.08081011455333,332,9,1335025454,0,0,224,270
1088,1,1,0,0,0,3.216555265792657,6.48373050016148,34404,5,1485515224,0,0,240,35
1005,0,1,0,2,2,3.4925743000817118,5.9497363803617205,332,6,1336076455,0,0,224,270
1104,1,1,0,3,1,0.1991075177871819,6.2882659935858864,34404,9,145868,0,0,240,559
1006,0,1,1,0,0,0.6417950218118956,7.994115126464375,332,4,1331754463,0,0,224,271
1115,1,1,0,0,0,4.421092157646523,6.2541562697852475,332,5,1439586038,0,0,224,258
1007,0,1,1,1,1,1.9411925072141014,7.729682851762602,332,5,1332591605,0,0,224,270
1116,1,1,0,4,1,0.19743807838821048,6.05856152649786,34404,11,8181792,36352,154,240,39
1008,0,1,1,4,0,0.020393135236084953,7.992092195912804,332,8,1337086863,0,0,224,258
1129,1,1,0,2,2,0.2108262677871819,6.715514659326925,332,9,1432138456,0,0,224,33166
1009,0,1,1,0,0,4.108738856680199,7.88062841341429,332,4,1331931721,0,0,224,271
1144,1,1,0,0,0,1.7707360215706438,6.200611336492241,34404,5,1328933607,0,0,240,34
101,0,1,1,0,0,3.770000384660344,7.768100352216089,332,4,1332675903,0,0,224,271
1185,1,1,0,2,1,4.174726192858374,6.22209893446948,332,6,1343342327,0,0,224,291
1010,0,1,1,0,0,0.7102209205690277,7.905044811639377,332,4,1343849227,0,0,224,271
1198,1,1,0,1,0,0.020393135236084953,6.6906726140069175,332,6,1494283392,0,0,224,290
1011,0,1,1,5,5,4.242809589113418,7.635019867904836,332,9,1333096841,0,0,224,270
1203,1,1,0,0,0,2.8327156702266154,5.570581150778284,332,5,1343345674,0,0,224,290
1012,0,1,1,3,0,1.4352454442333689,7.97987722497825,332,4,1331331528,0,0,224,33166
1215,1,1,0,4,1,0.19743807838821048,5.967905875732546,34404,11,17635360,42496,181,240,39
1013,0,1,0,0,0,2.0311300390555593,7.1221420844028405,332,4,1335847362,0,0,224,270
1219,1,1,0,0,0,0.08153941234324169,5.579406908556555,332,3,1343349327,0,0,224,258
1014,0,1,1,0,0,4.005955575531081,7.731520444094418,332,4,1344755412,0,0,224,271
1221,1,1,0,0,0,1.326451115586412,6.183300387982497,34404,6,1436498103,0,0,240,34
1015,0,1,1,0,0,3.816399394457816,7.769359088218244,332,4,1332535995,0,0,224,271
1229,1,1,0,4,1,0.19743807838821048,5.915156076712769,34404,11,0,32768,136,240,39
1017,0,1,1,0,1,4.086571917038139,7.852316766283852,332,4,1326871294,0,0,224,271
1245,1,1,0,0,0,2.7328856968580832,6.565954045831292,332,5,1456227446,0,0,224,258
1018,0,1,0,0,0,1.2803168863704828,6.589576519494972,332,5,1419757278,0,0,224,258
1247,1,1,0,4,1,0.17014565200323517,5.975865744732137,34404,11,0,45568,185,240,39
1019,0,1,1,1,0,0.26654043019931534,7.987129623332124,332,6,1213803377,0,0,224,258
