name,isPE,amountOfImportedDLL,advapi32.dll,user32.dll,ws2_32.dll,wininet.dll,kernel32.dll,shell32.dll,SizeOfCode,SizeOfInitializedData,SizeOfUninitializedData,AddressOfEntryPoint,ImageBase,MajorSubsystemVersion,NumberOfRvaAndSizes,SizeOfImage,SectionAlignment,FileAlignment,seemsPacked,amountOfSuspiciousSections,amountOfZeroEntropy,lowestEntropy,highestEntropy,NumberOfSections,TimeDateStamp,PointerToSymbolTable,NumberOfSymbols,SizeOfOptionalHeader,Characteristics,relocationsOverlapEntrypoint,sequentialRelocs
31,1,4,1,1,0,0,1,0,112128,15872,0,109696,4194304,4,16,151552,4096,512,0,4,0,0.16032872589902852,7.077592950759777,8,1334798650,0,0,224,270,0,278
32,1,3,0,1,0,0,1,0,23552,16896,3072,5376,4194304,5,16,69632,4096,512,0,3,1,0.17014565200323517,6.0372220407975785,9,155,0,0,240,559,0,0
33,1,2,0,1,0,0,1,0,12288,389120,0,5416,4194304,4,16,823296,4096,4096,1,0,0,6.344182100721035,7.823030063738056,4,1343502777,0,0,224,271,0,0
34,1,7,1,1,1,0,1,0,143360,61440,0,77738,1677721600,4,16,225280,4096,4096,0,0,1,1.5224953831709833,6.643807595934541,5,1333755894,0,0,224,8450,0,0
35,1,10,0,0,0,0,1,0,19968,39424,3072,5328,4194304,5,16,77824,4096,512,0,4,1,0.19743807838821048,5.9544217279362766,11,23578656,40960,152,240,39,0,0
36,1,2,1,0,0,0,1,0,94208,307678,491520,76217,4259840,4,16,913408,4096,4096,1,0,0,3.8067363487314534,7.769740595312929,4,1332576541,0,0,224,271,0,0
37,1,2,0,0,0,0,1,0,163840,12288,1081344,1242576,4194304,4,16,1290240,4096,512,1,2,1,1.0011232440274405,7.996495154077435,3,1079119591,0,0,224,271,0,0
38,1,2,1,0,0,0,1,0,94208,307678,491520,76217,4259840,4,16,913408,4096,4096,1,0,0,3.8067363487314534,7.769629950239372,4,1332576541,0,0,224,271,0,0
39,1,4,1,1,0,0,1,0,113152,15872,0,109808,4194304,4,16,155648,4096,512,0,5,0,0.16032872589902852,7.083592708543808,9,1335019226,0,0,224,270,0,301
40,1,4,0,1,0,0,1,0,5632,374784,0,5644,4194304,4,16,823296,4096,512,1,0,1,4.046516131989101,7.907098098547854,4,1326871294,0,0,224,271,0,0
41,1,7,1,1,0,0,1,1,153600,69120,0,57832,5368709120,5,16,249856,4096,512,0,0,0,2.1997038340788224,6.547290240693196,5,1233230254,0,0,240,35,0,0
42,1,5,1,1,0,0,1,0,4096,278016,0,4928,4194304,4,16,299008,4096,512,1,3,2,3.0494264714616564,7.716074609241496,7,1332237016,0,0,224,270,0,399
43,1,4,0,1,0,1,1,0,45056,409600,0,5952,4194304,4,16,823296,4096,4096,1,0,0,3.9767323802526033,7.731222785517,4,1344755412,0,0,224,271,0,0
44,1,4,0,1,0,0,1,0,36864,380928,0,5616,4194304,4,16,823296,4096,4096,1,0,0,0.7084391161331923,7.904780911389678,4,1343935512,0,0,224,271,0,0
45,1,5,0,1,0,0,1,1,172544,0,0,85556,4194304,5,16,212992,4096,512,1,0,0,0.020393135236084953,7.931983091477318,4,1293164847,0,0,224,258,0,93
46,1,4,0,1,0,0,1,0,28672,434176,253952,7012,4259840,4,16,991232,4096,4096,1,0,0,4.19189111895225,7.876780456455801,4,1335291770,0,0,224,271,0,0
47,1,4,1,1,0,0,1,0,14848,107520,0,5872,4194304,4,16,143360,4096,512,0,3,3,2.4657091079101185,7.290375904386848,7,1338192084,0,0,224,270,0,0
48,1,5,0,1,0,0,1,0,28672,413696,237568,7380,4259840,4,16,987136,4096,4096,1,0,0,4.342423172243521,7.869764918323755,4,1335178283,0,0,224,271,0,0
49,1,4,0,1,0,0,1,0,20480,479232,0,6355,4194304,4,16,827392,4096,4096,1,0,0,2.0018502850638114,7.976636769773586,4,1342195216,0,0,224,271,0,0
50,1,3,1,0,0,0,1,0,2048,91648,0,4640,4194304,4,16,110592,4096,512,1,0,0,2.006387977875609,7.7560199455205945,5,1332867628,0,0,224,270,0,2
51,1,2,0,0,0,0,0,0,13184,16256,0,1832,65536,5,16,30592,128,128,0,1,0,3.483140786417014,6.18007691845754,5,1230851288,0,0,224,258,0,10
52,1,4,0,1,0,0,1,0,36864,380928,0,5616,4194304,4,16,823296,4096,4096,1,0,0,0.7073176487988896,7.904481249065349,4,1343935512,0,0,224,271,0,0
53,1,4,1,0,0,0,1,0,90112,245140,499712,87166,4194304,4,16,856064,4096,4096,1,0,0,1.1369952838140192,7.968361263079394,4,1331844927,0,0,224,271,0,0
54,1,6,1,1,0,0,1,1,126464,14336,0,5472,4194304,4,16,155648,4096,512,0,2,2,3.469784069346671,6.245883264936588,6,1336222839,0,0,224,270,0,95
55,1,2,0,1,0,0,1,0,164352,12288,0,142165,4194304,5,16,188416,4096,512,1,0,0,3.4802075378080133,7.899448794668786,4,1307786444,0,0,224,258,0,174
56,1,7,1,1,1,0,1,0,143360,61440,0,77738,1677721600,4,16,225280,4096,4096,0,0,1,1.5181996275425544,6.643661752884318,5,1333985852,0,0,224,8450,0,0
57,1,3,1,1,0,0,1,0,145408,46592,0,5248,4194304,4,16,217088,4096,512,0,5,5,0.12943919267108936,6.045182095330773,8,1342243229,0,0,224,270,0,0
58,1,4,1,0,0,0,1,0,5632,384000,0,5144,4194304,4,16,823296,4096,512,1,0,1,4.028334699055754,7.881616506890322,4,1302935608,0,0,224,271,0,0
